enabled,symbol,name,asset_type,market,theme
TRUE,058470.KQ,리노공업,STOCK,KR,SEMICONDUCTOR
TRUE,403870.KQ,HPSP,STOCK,KR,SEMICONDUCTOR
TRUE,039030.KQ,이오테크닉스,STOCK,KR,SEMICONDUCTOR
TRUE,036930.KQ,주성엔지니어링,STOCK,KR,SEMICONDUCTOR
TRUE,084370.KQ,유진테크,STOCK,KR,SEMICONDUCTOR
TRUE,240810.KQ,원익IPS,STOCK,KR,SEMICONDUCTOR
TRUE,108320.KQ,LX세미콘,STOCK,KR,SEMICONDUCTOR
TRUE,009150.KS,삼성전기,STOCK,KR,IT_PARTS
TRUE,011070.KS,LG이노텍,STOCK,KR,IT_PARTS
TRUE,005380.KS,현대차,STOCK,KR,AUTO
TRUE,000270.KS,기아,STOCK,KR,AUTO
TRUE,373220.KS,LG에너지솔루션,STOCK,KR,BATTERY
TRUE,051910.KS,LG화학,STOCK,KR,BATTERY
TRUE,006400.KS,삼성SDI,STOCK,KR,BATTERY
TRUE,247540.KQ,에코프로비엠,STOCK,KR,BATTERY
TRUE,086520.KQ,에코프로,STOCK,KR,BATTERY
TRUE,196170.KQ,알테오젠,STOCK,KR,BIO
TRUE,068270.KS,셀트리온,STOCK,KR,BIO
TRUE,028300.KQ,HLB,STOCK,KR,BIO
TRUE,207940.KS,삼성바이오로직스,STOCK,KR,BIO
TRUE,277810.KQ,레인보우로보틱스,STOCK,KR,ROBOT
TRUE,012450.KS,한화에어로스페이스,STOCK,KR,DEFENSE
TRUE,047810.KS,한국항공우주,STOCK,KR,DEFENSE
TRUE,329180.KS,HD현대중공업,STOCK,KR,SHIPBUILDING
TRUE,034020.KS,두산에너빌리티,STOCK,KR,NUCLEAR
TRUE,010140.KS,삼성중공업,STOCK,KR,SHIPBUILDING
TRUE,000720.KS,현대건설,STOCK,KR,CONSTRUCTION
TRUE,035420.KS,NAVER,STOCK,KR,PLATFORM
TRUE,035720.KS,카카오,STOCK,KR,PLATFORM
TRUE,259960.KS,크래프톤,STOCK,KR,GAME
TRUE,352820.KS,하이브,STOCK,KR,ENTERTAINMENT
TRUE,105560.KS,KB금융,STOCK,KR,FINANCE
TRUE,055550.KS,신한지주,STOCK,KR,FINANCE
TRUE,086790.KS,하나금융지주,STOCK,KR,FINANCE
TRUE,316140.KS,우리금융지주,STOCK,KR,FINANCE
TRUE,069500.KS,KODEX 200,ETF,KR,KR_ETF
TRUE,229200.KS,KODEX 코스닥150,ETF,KR,KR_ETF
TRUE,305540.KS,TIGER 2차전지테마,ETF,KR,KR_ETF
TRUE,396500.KS,TIGER Fn반도체TOP10,ETF,KR,KR_ETF
TRUE,381180.KS,TIGER 미국필라델피아반도체나스닥,ETF,KR,KR_US_ETF
TRUE,379800.KS,KODEX 미국S&P500TR,ETF,KR,KR_US_ETF
TRUE,379810.KS,KODEX 미국나스닥100TR,ETF,KR,KR_US_ETF
TRUE,360750.KS,TIGER 미국S&P500,ETF,KR,KR_US_ETF
TRUE,133690.KS,TIGER 미국나스닥100,ETF,KR,KR_US_ETF
